#,Nodes,,,,,,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,…]]],,
N,Rescate Nacional «RN»,#3f3641,,1982.8.13,1983.12.4,,http://cic1.ucab.edu.ve/cic/php/buscar_1reg.php?Opcion=leerregistro&Formato=w&base=imber&cipar=imber.par&Mfn=6391,,,,,,,,,,,,
N,Fórmula Uno «F1»,#e895ea,,1988.8.8,1993.12.5,,http://cic1.ucab.edu.ve/cic/php/buscar_1reg.php?Opcion=leerregistro&Formato=w&base=imber&cipar=imber.par&Mfn=5004,,,,,,,,,,,,
N,Partido Nacionalista Venezolano «PNV»,#14633c,,1979.7.30,1983.12.4,,https://vlexvenezuela.com/vid/ybarra-riverol-partido-nacionalista-283514603,,,,,,,,,,,,
N,Confianza Electoral «CONFE»,#c8be03,,1983.8.1,1983.12.4,,http://www.eumed.net/oe-vess/conv/32779.pdf,,,,,,,,,,,,
N,Comité Independiente Mayoritario «CIMA»,#518213,,1983,1983.12.4,,https://kellogg.nd.edu/sites/default/files/old_files/documents/244_0.pdf,,,,,,,,,,,,
N,Movimiento Pro Defensa de Ideas Nacionalistas «MPDIN»,#fa1f2c,,1969,2000,,http://revistacaracola.com.ve/en-el-movimiento-pro-defensa-de-las-ideas-nacionalistas-mpdin-eramos-mas-de-5-militantes-camarada-presidente/,,,,,,,,,,,,
N,Independientes Con el Cambio 88,#5e8797,,1988,1988.12.4,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Línea Democrática Republicana «LIDER»,#e2fab1,,1988,1998.12.6,,https://kellogg.nd.edu/sites/default/files/old_files/documents/244_0.pdf,,,,,,,,,,,,
N,La Nueva República «LNR»,#ab762d,,1988,1988.12.4,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Movimiento Nacionalista Venezolano «MNV»,#fa1f2c,,1988,1988.12.4,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Nosotros el Poder Social de la Nación «PSN»,#f97f07,,1986,1988.12.4,,http://luchassocialesenaragua.blogspot.com/2012/10/milagros-galeno-una-medico-que-sigue.html,,,,,,,,,,,,
N,Acción Agropecuaria «AA»,#ab762d,,1993,2006.12.3,,https://kellogg.nd.edu/sites/default/files/old_files/documents/244_0.pdf,,,,,,,,,,,,
N,Democracia Renovadora «DR»,#81fcea,,1997,,,https://es.wikipedia.org/wiki/Mesa_de_la_Unidad_Democr%C3%A1tica,Unidad Democracia Renovadora,2012.11.9,http://www.cne.gob.ve/resultado_presidencial_2012/r/1/reg_130000.html,,,,,,,,,
N,Factor Democrático «FD»,#8da765,,1993,1998.12.6,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Frente de Integración Nacional «FIN»,#cae60f,,1983,1993.12.5,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Frente Independiente Nacional «FIN»,#0f1035,,1998,2005.12.4,,http://www.oas.org/sap/publications/1998/moe/venezuela/doc/pbl_19_1998_spa.pdf,,,,,,,,,,,,
N,Organización Fuerza Movimiento «OFM»,#273377,,1998,2012.11.19,,http://hdl.handle.net/2152/16391,Organización Fuerza en Movimiento «OFM»,2009.8.7,http://www4.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=495,,,,,,,,,
N,Unidos por los Derechos Humanos «UDH»,#e6190c,,1998.7,2012.3.6,,http://www.derechos.org.ve/pw/wp-content/uploads/ComiteJyP.pdf,,,,,,,,,,,,
N,Aragua Unida «AU»,#8aa8fe,,2012.8.12,,,https://asmenlinea.blogspot.com/2012/12/rumbo-las-elecciones-regionales-como.html,,,,,,,,,,,,
N,Esperanza por El Cambio «ELCAMBIO»,#738C1F,,2018.2.19,,,https://es.wikipedia.org/wiki/Movimiento_Esperanza_por_el_Cambio,,,,,,,,,,,,
N,Juega Limpio «JL»,#00949C,,2015.3.27,,,http://www.cne.gov.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?tg=1&num_gac=744,,,,,,,,,,,,
N,Movimiento 100 «M-100»,#8DE2E9,,1998,,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Movimiento Liberador Sucre Despierta «MLSD»,#FF8D75,,2008.8.1,,,http://www4.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=445,,,,,,,,,,,,
N,Movimiento Regional de Avanzada «MRA»,#0683C6,,2001.4.20,,,https://vlexvenezuela.com/vid/rodulfo-movimiento-regional-avanzada-283402051,,,,,,,,,,,,
N,Nuevo Pacto «NP»,#303092,,2005,,,http://www.noticiasdiarias.informe25.com/2012/11/siete-candidatos-se-enfrentaran-por-la.html,,,,,,,,,,,,
N,Por Amor A Los Pueblos «PAP»,#A03930,,2007.12.18,,,http://www.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?tg=1&num_gac=405,,,,,,,,,,,,
N,Una Mano Amiga Revolucionaria «UMAR»,#F9140F,,2008.6.3,,,http://www4.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=432,Partido Independiente Organizado «PIO»,2009.5.14,http://www.cne.gov.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=485,,,,,,,,,
N,Partido Laboral Rumbo al Socialismo «PLRAS»,#991533,,2008.4.21,,,http://www.cne.gov.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=421,,,,,,,,,,,,
N,Progresistas Merideños Independientes «PMI»,#5A82C7,,2012.6.22,,,http://www.cne.gov.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?tg=1&num_gac=627,,,,,,,,,,,,
N,Por Mi Pueblo «PMP»,#766FB2,,2000,,,https://es.wikipedia.org/wiki/Municipio_Montalb%C3%A1n_(Carabobo),,,,,,,,,,,,
N,Proyecto Guayana «PRO GUAYANA»,#99C54A,,2012.6.22,,,http://www.cne.gov.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?tg=1&num_gac=627,,,,,,,,,,,,
N,Renovación en Democracia Nacimiento Alternativo «RENA»,#2A3137,,2006.9.30,,,https://www.aporrea.org/actualidad/a25747.html,,,,,,,,,,,,
N,Tinaquillo Es Primero «TINA ES I»,#FCCA69,,2011.9.21,,,http://www.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=581,,,,,,,,,,,,
N,Tiempo Social Nacionalista «TISON»,#FE6017,,2008.9.19,,,http://www4.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=455,,,,,,,,,,,,
N,Todos Unidos Por Amazonas «TUPAZ»,#E9D37E,,2009.4.21,,,http://www4.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=483,,,,,,,,,,,,
N,Unidad Soberana «US»,#EE6842,,2008.3.17,,,http://www4.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=416,,,,,,,,,,,,
N,Urgencia Solidaria de Transformación Estadal Democrática «USTED»,#FFF9AD,,1998,,,http://hdl.handle.net/2152/16391,,,,,,,,,,,,
N,Yacimiento Indigenista Venezolano Independiente «YIVI»,#9E0500,,2008.9.12,,,http://www.cne.gov.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=453,,,,,,,,,,,,
N,Movimiento Bastión Revolucionario 200 4-Fases «MOBARE 200-4F»,#C74B3F,,2005,,,https://es.wikipedia.org/wiki/Movimiento_Basti%C3%B3n_Revolucionario_200_4-Fases,,,,,,,,,,,,
N,Juventud Organizada en Venezuela «JOVEN»,#c1f4eb,,2005.11.2,,,http://www.cne.gob.ve/int_divulgacion_parlamentarias/pdf/CARABOBO.pdf,,,,,,,,,,,,
N,Unidad Democrática «UDEMO»,#FEFD54,,2008,,,http://www.cne.gob.ve/divulgacion_regionales_2008/,,,,,,,,,,,,
N,La Fuerza del Cambio «FDC»,#8bf508,Primero Justicia «PJ»,2009.5.14,,,http://www4.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=485,,,,,,,,,,,,
N,Manos Por Venezuela «MAPVE»,#b9b179,,2012.5.29,,,http://www4.cne.gob.ve/web/sala_prensa/noticia_detallada.php?id=2075,Progreso Social «PS»,2013.8.26,http://www.cne.gov.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?tg=1&num_gac=679,,,,,,,,,
N,Vanguardia Popular «VP»,#e7909f,Bandera Roja «BR»,2007.3.11,,,http://vozdevanguardia.blogspot.com/2014/03/declaracion-politica-con-motivo-del-7.html,,,,,,,,,,,,
N,Nosotros Organizados Elegimos «NOE»,#7193BF,,2006.5.9,,,http://sgg.carabobo.gob.ve/gaceta/GACETAOFICIALNo2071.pdf,Unidad Nosotros Organizados Elegimos «UNOE»,2012.12.16,http://www.cne.gob.ve/web/normativa_electoral/elecciones/2012/regionales/documentos/AUTORIZADOS_CONTRATAR_PROPAGANDA_ELECTORAL.pdf,,,,,,,,,
N,Movimiento Pro Defensa de la Comunidad «PROCOMUNIDAD»,#008102,,2002.11.8,,,https://vlexvenezuela.com/vid/miguel-antonio-prieto-narvaez-vs-cne-283324595,Alianza del Lápiz Pro Defensa de la Comunidad «LAPIZ PROCOMUNIDAD»,2013.9.12,http://www.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?tg=1&num_gac=681,,,,,,,,,
N,Vamos Adelante «VA PA’ LANTE»,#3F2578,,2010,,,http://www.cne.gob.ve/web/normativa_electoral/elecciones/2010/regionales/documentos/AUTORIZADOS_CONTRATAR_PROPAGANDA_ELECTORAL.pdf,,,,,,,,,,,,
N,Mesa de la Unidad Democrática «MUD»,#98CED6,,2010.12.22,,,http://www.cne.gov.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?tg=1&num_gac=552,,,,,,,,,,,,
N,Cambiemos Movimiento Ciudadano «CMC»,#872183,,2018.7.26,,,http://www4.cne.gob.ve/web/normativa_electoral/elecciones/2018/denominaciones/documentos/aviso_oficial_inscripcion.pdf,,,,,,,,,,,,
N,Por Ti Venezuela «PTV»,#2177c8,,2018.7.26,,,http://www4.cne.gob.ve/web/normativa_electoral/elecciones/2018/denominaciones/documentos/aviso_oficial_inscripcion.pdf,,,,,,,,,,,,
N,Acción Ciudadana en Positivo «ACEP»,#8b3cb8,,2018.7.26,,,http://www4.cne.gob.ve/web/normativa_electoral/elecciones/2018/denominaciones/documentos/aviso_oficial_inscripcion.pdf,,,,,,,,,,,,
N,Soluciones Por Venezuela «SPV»,#e88c07,,2018.7.26,,,http://www4.cne.gob.ve/web/normativa_electoral/elecciones/2018/denominaciones/documentos/aviso_oficial_inscripcion.pdf,,,,,,,,,,,,
N,Prociudadanos,#024D77,,2016.6.1,,,https://es.wikipedia.org/wiki/Prociudadanos,Liberal Prociudadanos «LPC»,2018.7.26,http://www4.cne.gob.ve/web/normativa_electoral/elecciones/2018/denominaciones/documentos/aviso_oficial_inscripcion.pdf,,,,,,,,,
N,Partido Independiente de Venezuela «PIV»,#c0c9aa,,2018.7.26,,,http://www4.cne.gob.ve/web/normativa_electoral/elecciones/2018/denominaciones/documentos/aviso_oficial_inscripcion.pdf,,,,,,,,,,,,
N,Movimiento Pluriétnico Intercultural de Venezuela «MOPIVENE»,#A56F29,Movimiento de los Pueblos Indígenas «MOPIVE»,2010.8.12,,,http://www.cne.gob.ve/divulgacion_parlamentarias_2010/gacetillas/21.pdf,,,,,,,,,,,,
N,Movimiento de los Pueblos Indígenas «MOPIVE»,#443427,,2009.4.21,,,http://www4.cne.gob.ve/web/gaceta_electoral/gaceta_electoral_detallado.php?num_gac=483,,,,,,,,,,,,
N,Encuentro Ciudadano,#001D50,Un Nuevo Tiempo «UNT»,2018.12.13,,,https://es.wikipedia.org/wiki/Encuentro_Ciudadano,,,,,,,,,,,,
N,Movimiento Sentir Nacional «MSN»,#9E3296,,2001,2007,,http://biblioteca2.ucab.edu.ve/anexos/biblioteca/marc/texto/AAR3525.pdf,,,,,,,,,,,,
N,Nuevo Orden Social «NOS»,#FF99CC,,2006.08.24,,,http://www.cne.gov.ve/web/sala_prensa/noticia_detallada.php?id=966,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#,Connectors,,,,,,,,,,,,,,,,,,
#,From When,From,To When,To,Thickness,Color,,,,,,,,,,,,,
C,2008.3.14,Liga Socialista «LS»,,Partido Socialista Unido de Venezuela «PSUV»,3,#FF0000,,,,,,,,,,,,,
C,1988.12.4,Movimiento de Izquierda Revolucionaria «MIR»,,Movimiento al Socialismo «MAS»,3,#FF6600,,,,,,,,,,,,,
C,2007.1,Izquierda Democrática «IZD»,,Un Nuevo Tiempo «UNT»,3,#1453A6,,,,,,,,,,,,,
C,2008.3.14,Unión para el Progreso «UNION»,,Partido Socialista Unido de Venezuela «PSUV»,3,#FF0000,,,,,,,,,,,,,
C,2010.1.16,Visión Emergente «VE»,,Alianza Bravo Pueblo «ABP»,3,#485EA1,,,,,,,,,,,,,
C,2008.3.14,Movimiento V República «MVR»,,Partido Socialista Unido de Venezuela «PSUV»,3,#FF0000,,,,,,,,,,,,,
C,2008.3.14,Movimiento por la Democracia Directa «MDD»,,Partido Socialista Unido de Venezuela «PSUV»,3,#FF0000,,,,,,,,,,,,,
C,2008.3.14,Movimiento Cívico Militante «MCM»,,Partido Socialista Unido de Venezuela «PSUV»,3,#FF0000,,,,,,,,,,,,,
C,2008.3.14,Clase Media Revolucionaria «CMR»,,Partido Socialista Unido de Venezuela «PSUV»,3,#FF0000,,,,,,,,,,,,,
C,2010.11.9,Venezuela de Primera,,Voluntad Popular «VP»,3,#F78F1E,,,,,,,,,,,,,
C,1936.3.1,Agrupación Revolucionaria de Izquierda «ARDI»,,Movimiento de Organización Venezolana «ORVE»,3,#837052,,,,,,,,,,,,,
C,1937.2.3,Movimiento de Organización Venezolana «ORVE»,,Partido Democrático Nacional «PDN»,3,#CB9517,,,,,,,,,,,,,
C,1941.9.13,Partido Democrático Nacional «PDN»,,Acción Democrática «AD»,3,#0066FF,,,,,,,,,,,,,
C,1936.7.1,Partido Liberal Anticomunista,,Partido Liberal,3,#FFD700,,,,,,,,,,,,,
C,1936.10.13,Partido Liberal,,Gran Partido Liberal,3,#FFF600,,,,,,,,,,,,,
C,1942.4.15,Acción Electoral,,Acción Nacional,3,#006400,,,,,,,,,,,,,
C,1946.1.13,Acción Nacional,,Comité de Organización Política Electoral Independiente «COPEI»,3,#8DC73C,,,,,,,,,,,,,
C,1943.5.26,Agrupación Cívica Bolivariana,,Partidarios de la Política del Gobierno «PPG»,3,#290a2e,,,,,,,,,,,,,
C,1946.12,Unión Popular Venezolana «UPV»,,Partido Revolucionario Venezolano «PRV»,3,#CB1D11,,,,,,,,,,,,,
C,1963.12.1,Partido Socialista de Trabajadores «PST»,,Independientes Pro Frente Nacional «IPFN»,3,#fcd680,,,,,,,,,,,,,
C,1963.12.1,Movimiento Republicano Progresista «MRP»,,Independientes Pro Frente Nacional «IPFN»,3,#fcd680,,,,,,,,,,,,,
C,1966.8.2,Alianza Cívica Nacional «ALCINA»,,Cruzada Cívica Nacionalista «CCN»,3,#D8B574,,,,,,,,,,,,,
C,1973.3.31,Movimiento Electoral Nacional Independiente «MENI»,,Opinión Nacional «OPINA»,3,#9A7628,,,,,,,,,,,,,
C,1973.3.31,Aclamación Popular «AP»,,Opinión Nacional «OPINA»,3,#9A7628,,,,,,,,,,,,,
C,1973.3.31,Alianza Popular Independiente «API»,,Opinión Nacional «OPINA»,3,#9A7628,,,,,,,,,,,,,
C,1973.3.31,Frente Electoral Independiente de Democrática Organización Nacional «FEIDON»,,Opinión Nacional «OPINA»,3,#9A7628,,,,,,,,,,,,,
C,1966.2,Vanguardia Popular Nacionalista «VPN»,,AD-Oposición,3,#D8C342,,,,,,,,,,,,,
C,1966.3.24,Alianza Popular «AP»,,Alianza Independiente Nacionalista «AIN»,3,#cc9015,,,,,,,,,,,,,
C,1966.3.24,Acción Independiente y Social Republicana,,Alianza Independiente Nacionalista «AIN»,3,#cc9015,,,,,,,,,,,,,
C,1973.7.4,Movimiento Venezuela Independiente «MVI»,,Movimiento Independiente Progresista «MIP»,3,#bcce1f,,,,,,,,,,,,,
C,2005.3,Vamos,,Polo Democrático «PD»,3,#FFAE50,,,,,,,,,,,,,
C,2005.3,Grupo Socialdemócrata «GSD»,,Polo Democrático «PD»,3,#FFAE50,,,,,,,,,,,,,
C,2007.1.4,Polo Democrático «PD»,,Un Nuevo Tiempo «UNT»,3,#1453A6,,,,,,,,,,,,,
C,1936.10.31,Partido Republicano Progresista «PRP»,,Partido Democrático Nacional «PDN»,3,#CB9517,,,,,,,,,,,,,
C,2012.11.19,Organización Fuerza Movimiento «OFM»,,Un Nuevo Tiempo «UNT»,3,#1453A6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#,Path,x Position,y Position,,,,,,,,,,,,,,,,
SVG,images/conectores.svg,125,780,,,,,,,,,,,,,,,,
SVG,images/Flag_of_Venezuela.svg,475,575,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#,Domains,,,,,,,,,,,,,,,,,,
#,Node,Color,Intensity,,,,,,,,,,,,,,,,
#,Partido Comunista de Venezuela «PCV»,#faa,30,,,,,,,,,,,,,,,,
